,A1
0,2290.78
1,2238.64
2,2238.0
3,2241.91
4,2222.22
5,2204.85
6,2193.68
7,2212.85
8,2208.94
9,2211.84
10,2208.94
11,2010.7636363636364
12,1815.4083333333333
13,1666.1461538461535
14,1562.4357142857143
15,1495.8666666666668
16,1394.9312499999999
17,1320.9882352941177
18,1231.0666666666666
19,1168.3473684210528
20,1113.89
21,1048.7857142857142
22,1005.6727272727272
23,985.8826086956524
24,952.3166666666667
25,916.5
26,876.75
27,850.2148148148148
28,825.5892857142858
29,787.048275862069
30,769.5533333333333
31,737.8838709677419
32,707.5906249999999
33,671.0636363636364
34,634.6794117647058
35,618.1171428571428
36,598.3638888888889
37,588.9108108108107
38,576.4131578947369
39,560.0692307692308
40,540.995
41,530.1536585365855
42,516.2761904761904
43,487.8581395348837
44,479.24090909090904
45,469.8066666666667
46,465.28913043478263
47,451.668085106383
48,446.4666666666667
49,436.3530612244898
50,424.174
51,409.2098039215686
52,415.1538461538462
53,410.6698113207548
54,402.67407407407404
55,394.73636363636365
56,384.9482142857143
57,377.538596491228
58,370.0534482758621
59,366.63050847457623
60,363.455
61,354.9196721311476
62,352.4951612903225
63,355.13015873015877
64,349.78437499999995
65,349.8092307692308
66,344.0409090909091
67,338.5985074626866
68,327.86176470588236
69,323.5550724637681
70,317.8285714285715
71,313.30704225352116
72,303.78472222222223
73,300.9315068493151
74,296.57702702702704
75,292.06266666666664
76,285.24078947368423
77,277.2688311688311
78,276.7269230769231
79,273.24810126582275
80,269.55875
81,266.337037037037
82,260.6487804878049
83,257.289156626506
84,254.03690476190474
85,256.4764705882353
86,252.88953488372093
87,249.69770114942528
88,243.64545454545453
89,241.11797752808985
90,235.01555555555555
91,232.5021978021978
92,232.1641304347826
93,229.12580645161287
94,228.55425531914892
95,226.94526315789474
96,223.67500000000004
97,223.64432989690724
98,219.91428571428568
99,217.8242424242424
100,214.99200000000002
101,210.719801980198
102,210.84313725490196
103,207.2543689320388
104,205.2192307692308
105,205.83523809523808
106,203.84622641509435
107,201.25327102803737
108,201.50370370370368
109,201.0880733944954
110,197.24272727272728
111,194.6162162162162
112,189.90267857142857
113,189.09115044247787
114,187.20263157894738
115,186.50608695652176
116,183.91120689655173
117,183.68205128205128
118,182.22542372881355
119,181.94285714285712
120,180.38
121,179.4107438016529
122,178.70409836065576
123,177.13008130081298
124,175.50725806451612
125,174.43759999999997
126,170.5325396825397
127,168.72834645669292
128,167.81328125000002
129,168.35348837209304
130,167.30615384615385
131,165.7152671755725
132,163.41439393939396
133,162.7172932330827
134,161.66417910447763
135,162.42222222222222
136,161.60514705882352
137,163.2861313868613
138,163.80072463768113
139,167.18705035971223
140,166.52642857142857
141,164.68156028368796
142,165.5105633802817
143,162.8951048951049
144,164.9736111111111
145,163.40344827586208
146,161.86438356164382
147,158.33061224489796
148,157.50878378378377
149,158.748322147651
150,157.13666666666668
151,156.21854304635764
152,153.68092105263156
153,154.29019607843136
154,154.1922077922078
155,153.2109677419355
156,151.67564102564103
157,149.95159235668788
158,149.70632911392406
159,147.3496855345912
160,145.255625
161,144.57142857142856
162,142.67160493827163
163,143.4533742331288
164,143.61707317073174
165,144.6339393939394
166,145.11084337349396
167,145.28263473053892
168,145.7892857142857
169,144.68757396449703
170,143.0841176470588
171,141.7222222222222
172,141.7651162790698
173,140.8780346820809
174,137.28563218390806
175,137.21885714285713
176,136.8556818181818
177,137.0175141242938
178,133.64719101123595
179,134.04804469273745
180,135.6588888888889
181,134.639226519337
182,133.9120879120879
183,133.75956284153006
184,133.20597826086956
185,133.9664864864865
186,133.43870967741935
187,131.9139037433155
188,130.5824468085106
189,129.44761904761904
190,129.67736842105262
191,127.97905759162303
192,127.1734375
193,127.18704663212435
194,125.43247422680413
195,124.0328205128205
196,122.24183673469388
197,121.35583756345179
198,119.63787878787878
199,121.43969849246233
200,122.569
201,122.8323383084577
202,124.17475247524753
203,123.77093596059113
204,123.19460784313726
205,122.11951219512194
206,121.65388349514564
207,120.8768115942029
208,123.35240384615385
209,122.42153110047849
210,123.53904761904762
211,122.26303317535545
212,121.7495283018868
213,120.52112676056338
214,118.75794392523366
215,118.01023255813952
216,117.45833333333331
217,119.05345622119816
218,121.5256880733945
219,122.62831050228311
220,123.77363636363636
221,124.63755656108596
222,126.52342342342344
223,126.44887892376681
224,130.53303571428572
225,131.89111111111112
226,137.36061946902655
227,137.6603524229075
228,142.6701754385965
229,135.67292576419214
230,140.06739130434784
231,137.7926406926407
232,137.63922413793105
233,138.0785407725322
234,141.17094017094018
235,143.00425531914894
236,141.7766949152542
237,142.74978902953586
238,142.6252100840336
239,139.11799163179919
240,134.59958333333333
241,138.39917012448132
242,142.3900826446281
243,142.2
244,141.70286885245903
